====================================================================================
CUTOFF SENSITIVITY SWEEP — DENOISED VARIANT
====================================================================================

Pipeline (per cell)
-------------------
  1. Build raw contrastive vectors at (layer L, cutoff K) from
     train-topic train-trial story means (positions K..N-1).
  2. Project them orthogonal to the top neutral PCs of the matching
     neutral corpus regime (V1 ← neutral_no_thinking story, V2 ←
     neutral_thinking thought, V3 ← neutral_thinking story).
     PC count per layer = smallest k such that cumulative variance
     explained ≥ 0.50 (matches compute_vectors.py:NEUTRAL_PC_VAR_TARGET).
  3. Classify topic-level holdout (topics 80-99) by argmax cosine.
  4. Drop cutoffs where >10% of training stories have <5 tokens
     remaining after applying K (low-data regime).

Raw and denoised numbers below come from the same training/holdout
file sets (same RNG-free deterministic file globs). The ONLY
difference is the project_out step on the contrastive vectors.

Neutral PC dimensionalities per layer (50%-variance cut):
  V1_no_thinking_full     L13: k=61  L17: k=78  L21: k=43  L25: k=70  L28: k=49  L32: k=43
  V2_thinking_thought     L13: k=36  L17: k=63  L21: k=44  L25: k=33  L28: k=36  L32: k=25
  V3_thinking_reply       L13: k=66  L17: k=81  L21: k=44  L25: k=72  L28: k=54  L32: k=44

====================================================================================
V1_no_thinking_full
====================================================================================

  Layer L13     (PCs projected out: 61)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  K= 55   |  0.166 |    0.297    |  +0.131  |  43
  K= 60   |  0.165 |    0.289    |  +0.124  |  43
  K= 65   |   DROP  |     DROP     |   DROP   |  --
  K= 70   |   DROP  |     DROP     |   DROP   |  --
  K= 75   |   DROP  |     DROP     |   DROP   |  --
  K= 80   |   DROP  |     DROP     |   DROP   |  --
  K= 85   |   DROP  |     DROP     |   DROP   |  --
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

====================================================================================
V2_thinking_thought
====================================================================================

  Layer L13     (PCs projected out: 36)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.168 |    0.412    |  +0.244  |  36
  K=  5   |  0.168 |    0.424    |  +0.256  |  36
  K= 10   |  0.168 |    0.458    |  +0.290  |  36
  K= 15   |  0.168 |    0.466    |  +0.298  |  36
  K= 20   |  0.168 |    0.471    |  +0.303  |  36
  K= 25   |  0.168 |    0.504    |  +0.336  |  36
  K= 30   |  0.168 |    0.525    |  +0.357  |  36
  K= 35   |  0.168 |    0.525    |  +0.357  |  36
  K= 40   |  0.168 |    0.521    |  +0.353  |  36
  K= 45   |  0.168 |    0.529    |  +0.361  |  36
  K= 50   |  0.168 |    0.487    |  +0.319  |  36
  K= 55   |  0.168 |    0.441    |  +0.273  |  36
  K= 60   |  0.168 |    0.420    |  +0.252  |  36
  K= 65   |  0.168 |    0.408    |  +0.239  |  36
  K= 70   |  0.168 |    0.395    |  +0.227  |  36
  K= 75   |  0.168 |    0.412    |  +0.244  |  36
  K= 80   |  0.168 |    0.399    |  +0.231  |  36
  K= 85   |  0.168 |    0.395    |  +0.227  |  36
  K= 90   |  0.168 |    0.408    |  +0.239  |  36
  K= 95   |  0.168 |    0.395    |  +0.227  |  36
  K=100   |  0.168 |    0.416    |  +0.248  |  36

  Layer L17     (PCs projected out: 63)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.244 |    0.357    |  +0.113  |  63
  K=  5   |  0.248 |    0.357    |  +0.109  |  63
  K= 10   |  0.231 |    0.357    |  +0.126  |  63
  K= 15   |  0.223 |    0.357    |  +0.134  |  63
  K= 20   |  0.223 |    0.357    |  +0.134  |  63
  K= 25   |  0.223 |    0.357    |  +0.134  |  63
  K= 30   |  0.214 |    0.361    |  +0.147  |  63
  K= 35   |  0.235 |    0.370    |  +0.134  |  63
  K= 40   |  0.256 |    0.378    |  +0.122  |  63
  K= 45   |  0.315 |    0.378    |  +0.063  |  63
  K= 50   |  0.345 |    0.391    |  +0.046  |  63
  K= 55   |  0.353 |    0.387    |  +0.034  |  63
  K= 60   |  0.349 |    0.387    |  +0.038  |  63
  K= 65   |  0.307 |    0.391    |  +0.084  |  63
  K= 70   |  0.252 |    0.395    |  +0.143  |  63
  K= 75   |  0.223 |    0.387    |  +0.164  |  63
  K= 80   |  0.189 |    0.387    |  +0.197  |  63
  K= 85   |  0.181 |    0.387    |  +0.206  |  63
  K= 90   |  0.176 |    0.387    |  +0.210  |  63
  K= 95   |  0.181 |    0.378    |  +0.197  |  63
  K=100   |  0.181 |    0.370    |  +0.189  |  63

  Layer L21     (PCs projected out: 44)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.168 |    0.176    |  +0.008  |  44
  K=  5   |  0.168 |    0.176    |  +0.008  |  44
  K= 10   |  0.168 |    0.185    |  +0.017  |  44
  K= 15   |  0.168 |    0.185    |  +0.017  |  44
  K= 20   |  0.168 |    0.193    |  +0.025  |  44
  K= 25   |  0.168 |    0.193    |  +0.025  |  44
  K= 30   |  0.168 |    0.181    |  +0.013  |  44
  K= 35   |  0.168 |    0.189    |  +0.021  |  44
  K= 40   |  0.168 |    0.189    |  +0.021  |  44
  K= 45   |  0.168 |    0.189    |  +0.021  |  44
  K= 50   |  0.172 |    0.185    |  +0.013  |  44
  K= 55   |  0.176 |    0.176    |  +0.000  |  44
  K= 60   |  0.181 |    0.176    |  -0.004  |  44
  K= 65   |  0.168 |    0.176    |  +0.008  |  44
  K= 70   |  0.168 |    0.185    |  +0.017  |  44
  K= 75   |  0.185 |    0.181    |  -0.004  |  44
  K= 80   |  0.181 |    0.172    |  -0.008  |  44
  K= 85   |  0.176 |    0.172    |  -0.004  |  44
  K= 90   |  0.168 |    0.172    |  +0.004  |  44
  K= 95   |  0.168 |    0.168    |  +0.000  |  44
  K=100   |  0.168 |    0.168    |  +0.000  |  44

  Layer L25     (PCs projected out: 33)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.168 |    0.202    |  +0.034  |  33
  K=  5   |  0.168 |    0.206    |  +0.038  |  33
  K= 10   |  0.168 |    0.206    |  +0.038  |  33
  K= 15   |  0.168 |    0.206    |  +0.038  |  33
  K= 20   |  0.168 |    0.214    |  +0.046  |  33
  K= 25   |  0.168 |    0.218    |  +0.050  |  33
  K= 30   |  0.168 |    0.218    |  +0.050  |  33
  K= 35   |  0.168 |    0.218    |  +0.050  |  33
  K= 40   |  0.176 |    0.214    |  +0.038  |  33
  K= 45   |  0.193 |    0.210    |  +0.017  |  33
  K= 50   |  0.206 |    0.210    |  +0.004  |  33
  K= 55   |  0.282 |    0.206    |  -0.076  |  33
  K= 60   |  0.202 |    0.210    |  +0.008  |  33
  K= 65   |  0.202 |    0.202    |  +0.000  |  33
  K= 70   |  0.206 |    0.197    |  -0.008  |  33
  K= 75   |  0.176 |    0.197    |  +0.021  |  33
  K= 80   |  0.176 |    0.197    |  +0.021  |  33
  K= 85   |  0.206 |    0.197    |  -0.008  |  33
  K= 90   |  0.206 |    0.206    |  +0.000  |  33
  K= 95   |  0.181 |    0.210    |  +0.029  |  33
  K=100   |  0.181 |    0.210    |  +0.029  |  33

  Layer L28     (PCs projected out: 36)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.168 |    0.193    |  +0.025  |  36
  K=  5   |  0.168 |    0.193    |  +0.025  |  36
  K= 10   |  0.168 |    0.193    |  +0.025  |  36
  K= 15   |  0.168 |    0.193    |  +0.025  |  36
  K= 20   |  0.168 |    0.193    |  +0.025  |  36
  K= 25   |  0.168 |    0.193    |  +0.025  |  36
  K= 30   |  0.168 |    0.193    |  +0.025  |  36
  K= 35   |  0.168 |    0.193    |  +0.025  |  36
  K= 40   |  0.168 |    0.185    |  +0.017  |  36
  K= 45   |  0.168 |    0.176    |  +0.008  |  36
  K= 50   |  0.168 |    0.176    |  +0.008  |  36
  K= 55   |  0.168 |    0.176    |  +0.008  |  36
  K= 60   |  0.168 |    0.176    |  +0.008  |  36
  K= 65   |  0.168 |    0.176    |  +0.008  |  36
  K= 70   |  0.168 |    0.176    |  +0.008  |  36
  K= 75   |  0.172 |    0.176    |  +0.004  |  36
  K= 80   |  0.172 |    0.176    |  +0.004  |  36
  K= 85   |  0.168 |    0.176    |  +0.008  |  36
  K= 90   |  0.168 |    0.176    |  +0.008  |  36
  K= 95   |  0.168 |    0.176    |  +0.008  |  36
  K=100   |  0.168 |    0.176    |  +0.008  |  36

  Layer L32     (PCs projected out: 25)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.181 |    0.466    |  +0.286  |  25
  K=  5   |  0.202 |    0.475    |  +0.273  |  25
  K= 10   |  0.252 |    0.479    |  +0.227  |  25
  K= 15   |  0.290 |    0.483    |  +0.193  |  25
  K= 20   |  0.307 |    0.475    |  +0.168  |  25
  K= 25   |  0.290 |    0.475    |  +0.185  |  25
  K= 30   |  0.261 |    0.471    |  +0.210  |  25
  K= 35   |  0.256 |    0.458    |  +0.202  |  25
  K= 40   |  0.261 |    0.454    |  +0.193  |  25
  K= 45   |  0.256 |    0.437    |  +0.181  |  25
  K= 50   |  0.269 |    0.416    |  +0.147  |  25
  K= 55   |  0.286 |    0.408    |  +0.122  |  25
  K= 60   |  0.286 |    0.408    |  +0.122  |  25
  K= 65   |  0.261 |    0.391    |  +0.130  |  25
  K= 70   |  0.256 |    0.370    |  +0.113  |  25
  K= 75   |  0.244 |    0.374    |  +0.130  |  25
  K= 80   |  0.273 |    0.370    |  +0.097  |  25
  K= 85   |  0.252 |    0.366    |  +0.113  |  25
  K= 90   |  0.235 |    0.378    |  +0.143  |  25
  K= 95   |  0.265 |    0.374    |  +0.109  |  25
  K=100   |  0.261 |    0.366    |  +0.105  |  25

====================================================================================
V3_thinking_reply
====================================================================================

  Layer L13     (PCs projected out: 66)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.262 |    0.362    |  +0.100  |  66
  K=  5   |  0.268 |    0.362    |  +0.094  |  66
  K= 10   |  0.275 |    0.364    |  +0.089  |  66
  K= 15   |  0.256 |    0.373    |  +0.117  |  66
  K= 20   |  0.219 |    0.380    |  +0.161  |  66
  K= 25   |  0.221 |    0.382    |  +0.160  |  66
  K= 30   |  0.212 |    0.382    |  +0.170  |  66
  K= 35   |  0.185 |    0.379    |  +0.194  |  66
  K= 40   |  0.174 |    0.379    |  +0.206  |  66
  K= 45   |  0.161 |    0.383    |  +0.222  |  66
  K= 50   |  0.161 |    0.380    |  +0.219  |  66
  K= 55   |  0.161 |    0.382    |  +0.220  |  66
  K= 60   |  0.161 |    0.396    |  +0.235  |  66
  K= 65   |  0.161 |    0.404    |  +0.243  |  66
  K= 70   |  0.162 |    0.408    |  +0.246  |  66
  K= 75   |  0.162 |    0.412    |  +0.250  |  66
  K= 80   |  0.269 |    0.400    |  +0.131  |  66
  K= 85   |  0.245 |    0.410    |  +0.165  |  66
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L17     (PCs projected out: 81)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.225 |    0.330    |  +0.105  |  81
  K=  5   |  0.214 |    0.333    |  +0.119  |  81
  K= 10   |  0.195 |    0.337    |  +0.142  |  81
  K= 15   |  0.239 |    0.341    |  +0.101  |  81
  K= 20   |  0.264 |    0.350    |  +0.086  |  81
  K= 25   |  0.278 |    0.357    |  +0.080  |  81
  K= 30   |  0.305 |    0.362    |  +0.058  |  81
  K= 35   |  0.304 |    0.371    |  +0.067  |  81
  K= 40   |  0.289 |    0.374    |  +0.085  |  81
  K= 45   |  0.220 |    0.379    |  +0.159  |  81
  K= 50   |  0.196 |    0.388    |  +0.193  |  81
  K= 55   |  0.191 |    0.391    |  +0.200  |  81
  K= 60   |  0.182 |    0.393    |  +0.211  |  81
  K= 65   |  0.179 |    0.389    |  +0.210  |  81
  K= 70   |  0.175 |    0.395    |  +0.219  |  81
  K= 75   |  0.173 |    0.401    |  +0.228  |  81
  K= 80   |  0.185 |    0.401    |  +0.216  |  81
  K= 85   |  0.193 |    0.401    |  +0.208  |  81
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L21     (PCs projected out: 44)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.168 |    0.208    |  +0.040  |  44
  K=  5   |  0.168 |    0.221    |  +0.053  |  44
  K= 10   |  0.168 |    0.220    |  +0.052  |  44
  K= 15   |  0.168 |    0.223    |  +0.055  |  44
  K= 20   |  0.168 |    0.226    |  +0.058  |  44
  K= 25   |  0.168 |    0.234    |  +0.066  |  44
  K= 30   |  0.168 |    0.245    |  +0.077  |  44
  K= 35   |  0.168 |    0.263    |  +0.095  |  44
  K= 40   |  0.168 |    0.293    |  +0.125  |  44
  K= 45   |  0.168 |    0.333    |  +0.165  |  44
  K= 50   |  0.168 |    0.362    |  +0.194  |  44
  K= 55   |  0.168 |    0.379    |  +0.211  |  44
  K= 60   |  0.168 |    0.377    |  +0.209  |  44
  K= 65   |  0.168 |    0.380    |  +0.212  |  44
  K= 70   |  0.168 |    0.384    |  +0.215  |  44
  K= 75   |  0.169 |    0.363    |  +0.194  |  44
  K= 80   |  0.176 |    0.338    |  +0.162  |  44
  K= 85   |  0.169 |    0.322    |  +0.154  |  44
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L25     (PCs projected out: 72)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.161 |    0.438    |  +0.276  |  72
  K=  5   |  0.161 |    0.430    |  +0.269  |  72
  K= 10   |  0.161 |    0.448    |  +0.287  |  72
  K= 15   |  0.161 |    0.466    |  +0.304  |  72
  K= 20   |  0.161 |    0.475    |  +0.313  |  72
  K= 25   |  0.161 |    0.475    |  +0.313  |  72
  K= 30   |  0.161 |    0.479    |  +0.318  |  72
  K= 35   |  0.161 |    0.493    |  +0.332  |  72
  K= 40   |  0.161 |    0.506    |  +0.345  |  72
  K= 45   |  0.162 |    0.516    |  +0.354  |  72
  K= 50   |  0.162 |    0.536    |  +0.374  |  72
  K= 55   |  0.162 |    0.533    |  +0.371  |  72
  K= 60   |  0.162 |    0.536    |  +0.374  |  72
  K= 65   |  0.162 |    0.527    |  +0.365  |  72
  K= 70   |  0.164 |    0.496    |  +0.332  |  72
  K= 75   |  0.164 |    0.477    |  +0.313  |  72
  K= 80   |  0.169 |    0.466    |  +0.297  |  72
  K= 85   |  0.166 |    0.477    |  +0.311  |  72
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L28     (PCs projected out: 54)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.290 |    0.374    |  +0.084  |  54
  K=  5   |  0.294 |    0.374    |  +0.080  |  54
  K= 10   |  0.300 |    0.369    |  +0.069  |  54
  K= 15   |  0.280 |    0.364    |  +0.085  |  54
  K= 20   |  0.256 |    0.358    |  +0.102  |  54
  K= 25   |  0.224 |    0.357    |  +0.133  |  54
  K= 30   |  0.240 |    0.362    |  +0.123  |  54
  K= 35   |  0.232 |    0.370    |  +0.138  |  54
  K= 40   |  0.259 |    0.366    |  +0.106  |  54
  K= 45   |  0.253 |    0.369    |  +0.116  |  54
  K= 50   |  0.243 |    0.367    |  +0.124  |  54
  K= 55   |  0.263 |    0.368    |  +0.104  |  54
  K= 60   |  0.243 |    0.370    |  +0.128  |  54
  K= 65   |  0.219 |    0.370    |  +0.151  |  54
  K= 70   |  0.218 |    0.376    |  +0.158  |  54
  K= 75   |  0.257 |    0.380    |  +0.123  |  54
  K= 80   |  0.288 |    0.367    |  +0.079  |  54
  K= 85   |  0.292 |    0.367    |  +0.075  |  54
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

  Layer L32     (PCs projected out: 44)
  ------------------------------------------------------------
  Cutoff  | Raw acc | Denoised acc | Delta    | # PCs
  --------|---------|--------------|----------|------
  K=  0   |  0.161 |    0.296    |  +0.134  |  44
  K=  5   |  0.161 |    0.295    |  +0.134  |  44
  K= 10   |  0.161 |    0.291    |  +0.130  |  44
  K= 15   |  0.161 |    0.277    |  +0.116  |  44
  K= 20   |  0.161 |    0.279    |  +0.118  |  44
  K= 25   |  0.161 |    0.279    |  +0.118  |  44
  K= 30   |  0.161 |    0.284    |  +0.123  |  44
  K= 35   |  0.161 |    0.298    |  +0.137  |  44
  K= 40   |  0.161 |    0.301    |  +0.140  |  44
  K= 45   |  0.161 |    0.304    |  +0.142  |  44
  K= 50   |  0.161 |    0.309    |  +0.148  |  44
  K= 55   |  0.161 |    0.319    |  +0.158  |  44
  K= 60   |  0.161 |    0.328    |  +0.167  |  44
  K= 65   |  0.161 |    0.342    |  +0.180  |  44
  K= 70   |  0.162 |    0.341    |  +0.180  |  44
  K= 75   |  0.161 |    0.351    |  +0.190  |  44
  K= 80   |  0.163 |    0.360    |  +0.197  |  44
  K= 85   |  0.162 |    0.360    |  +0.198  |  44
  K= 90   |   DROP  |     DROP     |   DROP   |  --
  K= 95   |   DROP  |     DROP     |   DROP   |  --
  K=100   |   DROP  |     DROP     |   DROP   |  --

====================================================================================
CHECK A — IS DENOISING UNIFORMLY HELPFUL ACROSS CELLS?
====================================================================================

  V1_no_thinking_full  (n_cells = 78)
    helped  (Δ > +0.005):   75
    no effect (|Δ| ≤ 0.005):  2
    hurt    (Δ < -0.005):   1
    mean Δ:   +0.1735
    median Δ: +0.1867
    max Δ:    +0.3117
    min Δ:    -0.0435
    histogram (Δ in 0.05 buckets):
      [-0.05, +0.00)  n=  1  #
      [+0.00, +0.05)  n=  6  ######
      [+0.05, +0.10)  n= 11  ###########
      [+0.10, +0.15)  n=  9  #########
      [+0.15, +0.20)  n= 20  ####################
      [+0.20, +0.25)  n= 17  #################
      [+0.25, +0.30)  n= 10  ##########
